facility_key,facility_name,source_facility_id,care_category,program_type,county,address,city,state,zip,phone,fax,capacity,licensee,administrator,facility_status,license_first_date,closed_date,regional_office,source_file_date,is_active,latitude,longitude,distance_miles_from_center,source_id,source_name,source_url,source_owner
"tx-hhsc-assisted-living:000745","BROOKDALE WESTLAKE HILLS","000745","assisted_living","Assisted Living","TRAVIS","1034 LIBERTY PARK DR","AUSTIN","TX","78746","(512) 328-3775","(512) 329-6533","36","","","","","","","","true","30.2675","-97.7876","2.7","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:110472","SOCO VILLAGE","110472","assisted_living","Assisted Living","TRAVIS","3700 PAYLOAD PASS","AUSTIN","TX","78704","512 6531430","","129","","","","","","","","true","30.2232","-97.7552","3.1","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:107288","THE VILLAGE AT THE TRIANGLE","107288","assisted_living","Assisted Living","TRAVIS","4517 TRIANGLE AVENUE","AUSTIN","TX","78751","(512) 323-0933","(512) 489-0956","98","","","","","","","","true","30.3134","-97.7342","3.2","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:105071","WESTMINSTER MANOR ASSISTED LIVING","105071","assisted_living","Assisted Living","TRAVIS","4200 JACKSON AVENUE","AUSTIN","TX","78731","(512) 454-2140","(512) 454-5713","37","","","","","","","","true","30.3154","-97.7552","3.4","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:050404","HOME OF SOUTHERN HOSPITALITY LLC","050404","assisted_living","Assisted Living","TRAVIS","5000 SHOALWOOD AVE","AUSTIN","TX","78756","(512) 451-8400","(512) 451-7972","15","","","","","","","","true","30.3229","-97.743","3.8","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:105870","BELMONT VILLAGE WEST LAKE HILLS TENANT LLC","105870","assisted_living","Assisted Living","TRAVIS","4310 BEE CAVE ROAD","WEST LAKE HILLS","TX","78746","(512) 347-1700","(512) 347-1701","183","","","","","","","","true","30.2875","-97.8129","4.4","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:030416","BROOKDALE GAINES RANCH","030416","assisted_living","Assisted Living","TRAVIS","4409 GAINES RANCH LOOP","AUSTIN","TX","78735","(512) 721-3100","(512) 899-1711","58","","","","","","","","true","30.2417","-97.8166","4.7","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:000785","PARSONS HOUSE AUSTIN","000785","assisted_living","Assisted Living","TRAVIS","1130 CAMINO LA COSTA","AUSTIN","TX","78752","(512) 454-0524","(512) 454-5502","120","","","","","","","","true","30.3246","-97.6964","4.8","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:050750","BROOKDALE NORTHWEST HILLS","050750","assisted_living","Assisted Living","TRAVIS","5715 MESA DR","AUSTIN","TX","78731","(512) 454-5900","(512) 652-0004","240","","","","","","","","true","30.3415","-97.7695","5.4","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:100114","SODALIS AUSTIN","100114","assisted_living","Assisted Living","TRAVIS","7017 MENCHACA RD","AUSTIN","TX","78745","(512) 916-4095","(512) 916-9239","133","","","","","","","","true","30.201","-97.807","6","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:110292","NEURORESTORATIVE TEXAS","110292","assisted_living","Assisted Living","TRAVIS","8600 CROSS PARK DR.","AUSTIN","TX","78754","(512) 648-8276","","12","","","","","","","","true","30.341","-97.6778","6.4","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:100331","TEXAS NEURO REHAB CENTER","100331","assisted_living","Assisted Living","TRAVIS","1106 W DITTMAR RD","AUSTIN","TX","78745","(512) 444-4835","(512) 462-6709","8","","","","","","","","true","30.189","-97.8058","6.6","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:110425","TEXAS NEUROREHAB CENTER","110425","assisted_living","Assisted Living","TRAVIS","1106 W. DITTMAR ROAD","AUSTIN","TX","78745","(512) 444-4835","(512) 462-6709","14","","","","","","","","true","30.189","-97.8058","6.6","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
"tx-hhsc-assisted-living:010266","THE COLLINFIELD HOUSE","010266","assisted_living","Assisted Living","TRAVIS","9205 COLLINFIELD DR","AUSTIN","TX","78758","(512) 619-4366","512 3584851","8","","","","","","","","true","30.3642","-97.702","7.1","tx-hhsc-assisted-living","Texas HHSC Assisted Living Facilities","https://services1.arcgis.com/jI1j5lArZnrgFYSc/ArcGIS/rest/services/Assisted_Living/FeatureServer/0","Texas Health and Human Services Commission"
