facility_key,facility_name,source_facility_id,care_category,program_type,county,address,city,state,zip,phone,fax,capacity,licensee,administrator,facility_status,license_first_date,closed_date,regional_office,source_file_date,is_active,latitude,longitude,distance_miles_from_center,source_id,source_name,source_url,source_owner
"ca-cdss-rcfe:198603652","1 DUARTE CARE","198603652","assisted_living","RESIDENTIAL CARE ELDERLY","LOS ANGELES","2436 EL TORO ROAD","DUARTE","CA","91010","(323) 697-4619","","4","1 DUARTE CARE INC.","GASARDZHYAN, OVSEP","LICENSED","10/19/2023","","28","5252025","true","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:565850189","143 WEST SIDLEE LLC","565850189","assisted_living","RESIDENTIAL CARE ELDERLY","VENTURA","143 WEST SIDLEE STREET","THOUSAND OAKS","CA","91360","(805) 807-0663","","6","143 WEST SIDLEE LLC","SARREAL, JOVY","LICENSED","10/4/2021","","29","5252025","true","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:19200874","1440 BY THE BAY","19200874","assisted_living","RESIDENTIAL CARE ELDERLY","ALAMEDA","1440 40TH STREET","EMERYVILLE","CA","94608","(510) 594-8800","","175","EMERYVILLE SR. HSNG, LLC; ATSC II LLC","HALL, STEPHANIE J","LICENSED","11/4/2019","","15","5252025","true","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:306006371","14STARS FINAN LLC/HALAL RES ASSIS FAC ELD","306006371","assisted_living","RESIDENTIAL CARE ELDERLY","ORANGE","350 W PARKWOOD AVE","LA HABRA","CA","90631","(657) 293-5844","","6","SALIM RAZA","RAZA, SALIM","CLOSED","","7/24/2023","22","5252025","false","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:342701401","1INFINITE HOUSE","342701401","assisted_living","RESIDENTIAL CARE ELDERLY","SACRAMENTO","3837 SUNNYVALE AVE","SACRAMENTO","CA","95821","(916) 534-8351","","6","INFINITE MANAGEMENT GROUP LLC","JONES, AJA","CLOSED","10/22/2024","1/24/2025","27","5252025","false","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:331880995","1LOVE SENIOR LIVING","331880995","assisted_living","RESIDENTIAL CARE ELDERLY","RIVERSIDE","1672 GOLDEN WAY","BEAUMONT","CA","92223","(310) 592-5338","","6","MOJICA, FLORENCE A & DY, KHAREN","MOJICA, FLORENCE A","CLOSED","","10/1/2020","56","5252025","false","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:197610295","1ST CARING TRADITIONS","197610295","assisted_living","RESIDENTIAL CARE ELDERLY","LOS ANGELES","3234 TOURNAMENT DRIVE","PALMDALE","CA","93551","(661) 441-0023","","6","1ST CARING TRADITIONS","MEDEL, REY","LICENSED","8/2/2022","","31","5252025","true","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:197610547","1ST CLASS BOARD AND CARE","197610547","assisted_living","RESIDENTIAL CARE ELDERLY","LOS ANGELES","9524 ENCINO AVE","NORTHRIDGE","CA","91325","(323) 408-9600","","6","7 TWO 5 INC","SAAKIAN, ANNA","LICENSED","5/9/2024","","31","5252025","true","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:197610579","1ST COMPANION RESIDENCE LLC","197610579","assisted_living","RESIDENTIAL CARE ELDERLY","LOS ANGELES","40341 15TH ST. W","PALMDALE","CA","93551","(213) 447-4802","","4","1ST COMPANION RESIDENCE LLC","MEDEL, REY RYAN","LICENSED","10/9/2024","","31","5252025","true","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
"ca-cdss-rcfe:197610451","1ST GOLDEN SENIOR CARE HOME","197610451","assisted_living","RESIDENTIAL CARE ELDERLY","LOS ANGELES","1117 ERWIN DRIVE","PALMDALE","CA","93551","(661) 992-1697","","6","MERLY DEE","MERLY DEE","LICENSED","9/19/2023","","31","5252025","true","","","","ca-cdss-rcfe","California CDSS Residential Care Facilities for the Elderly","https://lab.data.ca.gov/dataset/community-care-licensing-facilities/6b2f5818-f60d-40b5-bc2a-94f995f9f8b0","California Department of Social Services"
