facility_key,facility_name,source_facility_id,care_category,program_type,county,address,city,state,zip,phone,fax,capacity,licensee,administrator,facility_status,license_first_date,closed_date,regional_office,source_file_date,is_active,latitude,longitude,distance_miles_from_center,source_id,source_name,source_url,source_owner,source_detail
"cms-nursing-home-provider-info:025025","CENTENNIAL POST ACUTE","025025","skilled_nursing","Medicare and Medicaid","ANCHORAGE","9100 CENTENNIAL DRIVE","ANCHORAGE","AK","99504","9073338100","","102","CENTENNIAL SNF HEALTHCARE LLC","","ACTIVE","1994-01-31","","","2026-07-01","true","61.2257","-149.71","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Corporation"",""average_residents_per_day"":99.8,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":1,""health_inspection_rating"":1,""qm_rating"":3,""longstay_qm_rating"":2,""shortstay_qm_rating"":5,""staffing_rating"":4,""chain_name"":""PACS GROUP"",""chain_id"":""690"",""total_number_of_penalties"":4,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025036","Polaris Extended Care","025036","skilled_nursing","Medicare and Medicaid","ANCHORAGE","920 COMPASSION CIRCLE","ANCHORAGE","AK","99504","9072129200","","96","KORSIN HEALTHCARE LLC","","ACTIVE","2013-02-13","","","2026-07-01","true","61.2131","-149.78","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Limited Liability company"",""average_residents_per_day"":92.2,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""Y"",""overall_rating"":2,""health_inspection_rating"":1,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":null,""staffing_rating"":5,""chain_name"":""THE ENSIGN GROUP"",""chain_id"":""507"",""total_number_of_penalties"":5,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025018","POLARIS TRANSITIONAL CARE","025018","skilled_nursing","Medicare and Medicaid","ANCHORAGE","910 COMPASSION CIRCLE","ANCHORAGE","AK","99504","9072129200","","50","KORSIN HEALTHCARE LLC","","ACTIVE","1983-09-01","","","2026-07-01","true","61.2131","-149.78","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""For profit - Limited Liability company"",""average_residents_per_day"":46.3,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":2,""qm_rating"":5,""longstay_qm_rating"":3,""shortstay_qm_rating"":5,""staffing_rating"":4,""chain_name"":""THE ENSIGN GROUP"",""chain_id"":""507"",""total_number_of_penalties"":1,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025037","YUKON KUSKOKWIM ELDER'S HOME","025037","skilled_nursing","Medicare and Medicaid","BETHEL","1100 CHIEF EDDIE HOFFMAN HWY","BETHEL","AK","99559","9075436782","","18","YUKON-KUSKOKWIM HEALTH CORPORATION","","ACTIVE","2014-04-10","","","2026-07-01","true","60.7858","-161.79","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":17.3,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":3,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":null,""staffing_rating"":4,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":1,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025028","CORDOVA COMMUNITY MED LTC","025028","skilled_nursing","Medicare and Medicaid","CHUGACH","602 CHASE AVE","CORDOVA","AK","99574","9074248000","","10","Legal Business Name Not Available","","ACTIVE","1994-03-22","","","2026-07-01","true","60.5416","-145.75","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Government - City/county"",""average_residents_per_day"":7.8,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":3,""qm_rating"":2,""longstay_qm_rating"":2,""shortstay_qm_rating"":null,""staffing_rating"":null,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025020","Denali Center","025020","skilled_nursing","Medicare and Medicaid","FAIRBANKS NORTH STAR","1510 19TH AVENUE","FAIRBANKS","AK","99701","9074585100","","71","DENALI CENTER LLC","","ACTIVE","1983-11-01","","","2026-07-01","true","64.8304","-147.74","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":73.6,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":2,""qm_rating"":5,""longstay_qm_rating"":5,""shortstay_qm_rating"":5,""staffing_rating"":4,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":1,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025031","SOUTH PENINSULA HOSPITAL LTC","025031","skilled_nursing","Medicare and Medicaid","KENAI PENINSULA","4300 BARTLETT STREET","HOMER","AK","99603","9072350235","","28","SOUTH PENINSULA HOSPITAL INC","","ACTIVE","1994-10-26","","","2026-07-01","true","59.6516","-151.55","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Government - City/county"",""average_residents_per_day"":26,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":5,""health_inspection_rating"":5,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":null,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025027","WILDFLOWER COURT","025027","skilled_nursing","Medicare and Medicaid","JUNEAU","2000 SALMON CREEK LANE","JUNEAU","AK","99801","9074638700","","57","BARTLETT REGIONAL HOSPITAL","","ACTIVE","1994-05-15","","","2026-07-01","true","58.3311","-134.47","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Government - City/county"",""average_residents_per_day"":46.6,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":4,""health_inspection_rating"":3,""qm_rating"":4,""longstay_qm_rating"":4,""shortstay_qm_rating"":4,""staffing_rating"":5,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025010","KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE","025010","skilled_nursing","Medicare and Medicaid","KETCHIKAN GATEWAY","3100 TONGASS AVENUE","KETCHIKAN","AK","99901","9072255171","","29","PEACEHEALTH","","ACTIVE","1968-07-01","","","2026-07-01","true","55.3119","-131.59","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":25,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":1,""health_inspection_rating"":1,""qm_rating"":3,""longstay_qm_rating"":3,""shortstay_qm_rating"":null,""staffing_rating"":4,""chain_name"":"""",""chain_id"":"""",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
"cms-nursing-home-provider-info:025030","PROVIDENCE KODIAK ISLAND MED LTC","025030","skilled_nursing","Medicare and Medicaid","KODIAK ISLAND","1915 E REZANOF DRIVE","KODIAK","AK","99615","9074867800","","22","Legal Business Name Not Available","","ACTIVE","1994-09-20","","","2026-07-01","true","57.801","-152.37","","cms-nursing-home-provider-info","CMS Nursing Home Provider Information","https://data.cms.gov/provider-data/dataset/4pq5-n9py","Centers for Medicare & Medicaid Services","{""ownership_type"":""Non profit - Corporation"",""average_residents_per_day"":21.5,""continuing_care_retirement_community"":""N"",""special_focus_status"":"""",""abuse_icon"":""N"",""overall_rating"":3,""health_inspection_rating"":2,""qm_rating"":5,""longstay_qm_rating"":5,""shortstay_qm_rating"":null,""staffing_rating"":null,""chain_name"":""PROVIDENCE HEALTH & SERVICES"",""chain_id"":""430"",""total_number_of_penalties"":0,""geocoding_footnote"":""""}"
